"","muni","muni.no","year","month","case","cal.month","month.no","numCase"
"1","Porto Velho",110020,2001,"Jan",1,1,1,1
"2","Borba",130080,2001,"Jan",0,1,1,0
"3","Nova Olinda do Norte",130310,2001,"Jan",0,1,1,0
"4","Boa Vista",140010,2001,"Jan",0,1,1,0
"5","bidos",150510,2001,"Jan",0,1,1,0
"6","Bom Despacho",310740,2001,"Jan",0,1,1,0
"7","Conceio do Par",311760,2001,"Jan",0,1,1,0
"8","Dores do Indai",312320,2001,"Jan",0,1,1,0
"9","Estrela do Indai",312470,2001,"Jan",0,1,1,0
"10","Leandro Ferreira",313830,2001,"Jan",1,1,1,1
"11","Luz",313880,2001,"Jan",0,1,1,0
"12","Nova Serrana",314520,2001,"Jan",1,1,1,1
"13","Santo Antnio do Monte",316040,2001,"Jan",1,1,1,4
"14","So Gotardo",316210,2001,"Jan",0,1,1,0
"15","Porto Velho",110020,2001,"Fev",0,2,2,0
"16","Borba",130080,2001,"Fev",0,2,2,0
"17","Nova Olinda do Norte",130310,2001,"Fev",0,2,2,0
"18","Boa Vista",140010,2001,"Fev",0,2,2,0
"19","bidos",150510,2001,"Fev",0,2,2,0
"20","Bom Despacho",310740,2001,"Fev",1,2,2,1
"21","Conceio do Par",311760,2001,"Fev",1,2,2,2
"22","Dores do Indai",312320,2001,"Fev",1,2,2,1
"23","Estrela do Indai",312470,2001,"Fev",0,2,2,0
"24","Leandro Ferreira",313830,2001,"Fev",1,2,2,5
"25","Luz",313880,2001,"Fev",1,2,2,1
"26","Nova Serrana",314520,2001,"Fev",1,2,2,2
"27","Santo Antnio do Monte",316040,2001,"Fev",1,2,2,1
"28","So Gotardo",316210,2001,"Fev",0,2,2,0
"29","Porto Velho",110020,2001,"Mar",0,3,3,0
"30","Borba",130080,2001,"Mar",0,3,3,0
"31","Nova Olinda do Norte",130310,2001,"Mar",0,3,3,0
"32","Boa Vista",140010,2001,"Mar",0,3,3,0
"33","bidos",150510,2001,"Mar",0,3,3,0
"34","Bom Despacho",310740,2001,"Mar",1,3,3,1
"35","Conceio do Par",311760,2001,"Mar",0,3,3,0
"36","Dores do Indai",312320,2001,"Mar",1,3,3,1
"37","Estrela do Indai",312470,2001,"Mar",1,3,3,2
"38","Leandro Ferreira",313830,2001,"Mar",0,3,3,0
"39","Luz",313880,2001,"Mar",0,3,3,0
"40","Nova Serrana",314520,2001,"Mar",0,3,3,0
"41","Santo Antnio do Monte",316040,2001,"Mar",1,3,3,1
"42","So Gotardo",316210,2001,"Mar",1,3,3,2
"43","Porto Velho",110020,2001,"Mai",0,5,5,0
"44","Borba",130080,2001,"Mai",0,5,5,0
"45","Nova Olinda do Norte",130310,2001,"Mai",0,5,5,0
"46","Boa Vista",140010,2001,"Mai",0,5,5,0
"47","bidos",150510,2001,"Mai",1,5,5,1
"48","Bom Despacho",310740,2001,"Mai",0,5,5,0
"49","Conceio do Par",311760,2001,"Mai",0,5,5,0
"50","Dores do Indai",312320,2001,"Mai",0,5,5,0
"51","Estrela do Indai",312470,2001,"Mai",0,5,5,0
"52","Leandro Ferreira",313830,2001,"Mai",0,5,5,0
"53","Luz",313880,2001,"Mai",0,5,5,0
"54","Nova Serrana",314520,2001,"Mai",0,5,5,0
"55","Santo Antnio do Monte",316040,2001,"Mai",0,5,5,0
"56","So Gotardo",316210,2001,"Mai",0,5,5,0
"57","Porto Velho",110020,2001,"Jun",0,6,6,0
"58","Borba",130080,2001,"Jun",0,6,6,0
"59","Nova Olinda do Norte",130310,2001,"Jun",0,6,6,0
"60","Boa Vista",140010,2001,"Jun",0,6,6,0
"61","bidos",150510,2001,"Jun",0,6,6,0
"62","Bom Despacho",310740,2001,"Jun",0,6,6,0
"63","Conceio do Par",311760,2001,"Jun",0,6,6,0
"64","Dores do Indai",312320,2001,"Jun",0,6,6,0
"65","Estrela do Indai",312470,2001,"Jun",0,6,6,0
"66","Leandro Ferreira",313830,2001,"Jun",0,6,6,0
"67","Luz",313880,2001,"Jun",0,6,6,0
"68","Nova Serrana",314520,2001,"Jun",0,6,6,0
"69","Santo Antnio do Monte",316040,2001,"Jun",0,6,6,0
"70","So Gotardo",316210,2001,"Jun",0,6,6,0
"71","Porto Velho",110020,2001,"Jul",0,7,7,0
"72","Borba",130080,2001,"Jul",0,7,7,0
"73","Nova Olinda do Norte",130310,2001,"Jul",1,7,7,1
