location_id,year_id,GBD_mean,JRF_admin,bias_term
AFG,1980,0.040228788,0.04,1.0057197
AFG,1981,0.042181991,0.03,1.406066367
AFG,1982,0.04551832,0.05,0.9103664
AFG,1983,0.050099351,NA,NA
AFG,1984,0.055085681,0.16,0.344285506
AFG,1985,0.06056359,0.15,0.403757267
AFG,1986,0.066878319,0.11,0.607984718
AFG,1987,0.0744012,0.25,0.2976048
AFG,1988,0.082385361,0.35,0.235386746
AFG,1989,0.090340897,0.33,0.273760294
AFG,1990,0.098287493,0.25,0.393149972
AFG,1991,0.10681914,0.23,0.464431043
AFG,1992,0.11627182,NA,NA
AFG,1993,0.12579814,0.18,0.698878556
AFG,1994,0.13660903,0.12,1.138408583
AFG,1995,0.15128216,NA,NA
AFG,1996,0.16741806,0.31,0.540058258
AFG,1997,0.1861154,0.28,0.664697857
AFG,1998,0.20943762,0.27,0.775694889
AFG,1999,0.22994395,0.27,0.851644259
AFG,2000,0.25201309,0.24,1.050054542
AFG,2001,0.27433568,0.33,0.831320242
AFG,2002,0.29518723,0.36,0.819964528
AFG,2003,0.31439045,0.41,0.766805976
AFG,2004,0.33282632,0.5,0.66565264
AFG,2005,0.35035458,0.58,0.604059621
AFG,2006,0.36673844,0.58,0.632307655
AFG,2007,0.38500887,0.63,0.61112519
AFG,2008,0.40520063,0.64,0.633125984
AFG,2009,0.42832583,0.63,0.67988227
AFG,2010,0.45439178,0.66,0.688472394
AFG,2011,0.48101723,0.82,0.586606378
AFG,2012,0.50726444,0.87,0.583062575
AFG,2013,0.53225088,0.9,0.591389867
AFG,2014,0.54872251,0.95,0.577602642
AFG,2015,0.55588907,0.98,0.567233745
AGO,1980,0.14110027,NA,NA
AGO,1981,0.14142053,NA,NA
AGO,1982,0.14185829,NA,NA
AGO,1983,0.14244728,0.06,2.374121333
AGO,1984,0.14598958,NA,NA
AGO,1985,0.14952517,0.08,1.869064625
AGO,1986,0.15503946,0.1,1.5503946
AGO,1987,0.16240114,0.1,1.6240114
AGO,1988,0.17173152,0.12,1.431096
AGO,1989,0.18284409,0.18,1.0158005
AGO,1990,0.19489007,0.24,0.812041958
AGO,1991,0.20706826,0.26,0.796416385
AGO,1992,0.21927646,0.21,1.044173619
AGO,1993,0.23179062,0.3,0.7726354
AGO,1994,0.24454239,0.27,0.905712556
AGO,1995,0.25882024,0.42,0.616238667
AGO,1996,0.27222136,0.28,0.972219143
AGO,1997,0.28765541,0.41,0.701598561
AGO,1998,0.30640587,0.45,0.680901933
AGO,1999,0.33214259,0.22,1.509739045
AGO,2000,0.36919877,0.31,1.190963774
AGO,2001,0.4156186,0.41,1.013703902
AGO,2002,0.46843952,0.47,0.99667983
AGO,2003,0.52427876,0.46,1.139736435
AGO,2004,0.58134502,0.59,0.985330542
AGO,2005,0.63612264,0.47,1.353452426
AGO,2006,0.68820417,0.44,1.564100386
AGO,2007,0.73619324,0.83,0.886979807
AGO,2008,0.77404141,0.81,0.955606679
AGO,2009,0.80264872,0.73,1.099518795
AGO,2010,0.82562196,0.91,0.907276879
AGO,2011,0.842085,0.86,0.979168605
AGO,2012,0.85430765,0.91,0.938799615
AGO,2013,0.86264914,0.93,0.92757972
AGO,2014,0.86728346,0.8,1.084104325
AGO,2015,0.87038773,0.8,1.087984663
ALB,1980,0.83962506,NA,NA
ALB,1981,0.84618288,0.94,0.900194553
ALB,1982,0.85230404,NA,NA
ALB,1983,0.85804665,0.95,0.903207
ALB,1984,0.86309773,0.95,0.908523926
ALB,1985,0.86756223,0.96,0.903710656
ALB,1986,0.87123001,0.96,0.90753126
ALB,1987,0.8740322,0.96,0.910450208
ALB,1988,0.87597555,0.96,0.912474531
ALB,1989,0.8772943,0.94,0.933291809
ALB,1990,0.8784377,0.94,0.934508191
ALB,1991,0.8787781,0.78,1.12663859
ALB,1992,0.88185012,0.94,0.938138426
ALB,1993,0.88550174,0.96,0.922397646
ALB,1994,0.88911873,0.99,0.898099727
ALB,1995,0.88978738,0.97,0.917306577
ALB,1996,0.88988817,0.98,0.908049153
ALB,1997,0.88783658,0.99,0.896804626
ALB,1998,0.88149208,0.96,0.918220917
ALB,1999,0.87074685,0.97,0.897677165
ALB,2000,0.86192709,0.97,0.888584629
ALB,2001,0.85597456,0.97,0.882448
ALB,2002,0.85646611,0.98,0.87394501
ALB,2003,0.86313361,0.97,0.889828464
ALB,2004,0.87550104,0.97,0.902578392
ALB,2005,0.89110059,0.98,0.909286316
ALB,2006,0.90432072,0.97,0.932289402
ALB,2007,0.91571617,0.98,0.934404255
ALB,2008,0.92563611,0.99,0.93498597
ALB,2009,0.9330669,0.98,0.952109082
ALB,2010,0.93987983,0.99,0.949373566
ALB,2011,0.94564813,0.99,0.955200131
ALB,2012,0.95054078,0.99,0.960142202
ALB,2013,0.95477366,0.99,0.964417838
ALB,2014,0.95840031,0.99,0.968081121
ALB,2015,0.96175832,NA,NA
