COUNTRY_ID,country_name,district_name,GAUL_CODE,total_population_2016,coverage_untargeted_biased_2016,coverage_untargeted_unbiased_2016,coverage_targeted_2016,number_to_vaccinate_untargeted_biased_2016,number_to_vaccinate_untargeted_unbiased_2016,number_to_vaccinate_targeted_2016,coverage_untargeted_biased_1970,coverage_untargeted_biased_1980,coverage_untargeted_biased_1990,coverage_untargeted_biased_2000,coverage_untargeted_biased_2010,coverage_untargeted_unbiased_1970,coverage_untargeted_unbiased_1980,coverage_untargeted_unbiased_1990,coverage_untargeted_unbiased_2000,coverage_untargeted_unbiased_2010,coverage_targeted_1970,coverage_targeted_1980,coverage_targeted_1990,coverage_targeted_2000,coverage_targeted_2010
AGO,Angola,Ambriz,4206,21768.07439,0.360210242,0.360210242,0.360210242,9573,9573,9573,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Bula Atumba,4207,24603.95989,0.360210242,0.360210242,0.360210242,10821,10821,10821,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Dande,4208,108236.3776,0.360210242,0.360210242,0.360210242,47601,47601,47601,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Dembos,4209,26414.3283,0.360210242,0.360210242,0.360210242,11617,11617,11617,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Icolo E Bengo,4210,79779.92735,0.360210242,0.360210242,0.360210242,35086,35086,35086,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Nambuangongo,4211,142960.1421,0.360210242,0.360210242,0.360210242,62872,62872,62872,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Pango Aluquem,4212,20980.45818,0.360210242,0.360210242,0.360210242,9227,9227,9227,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Quissama,4213,40197.29949,0.360210242,0.360210242,0.360210242,17678,17678,17678,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Baia Farta,4214,101995.563,0.674280323,0.77834194,0.876367058,12823,2209,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Balombo,4215,28949.67056,0.674280323,0.77834194,0.876367058,3640,627,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Benguela,4216,607583.5239,0.674280323,0.77834194,0.876367058,76385,13159,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Bocoio,4217,58347.09847,0.674280323,0.77834194,0.876367058,7335,1264,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Caimbambo,4218,46035.92668,0.674280323,0.77834194,0.876367058,5788,997,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Chongoroi,4219,78235.42419,0.674280323,0.77834194,0.876367058,9836,1694,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cubal,4220,235459.8099,0.674280323,0.77834194,0.876367058,29602,5100,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Ganda,4221,194844.3267,0.674280323,0.77834194,0.876367058,24496,4220,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Lobito,4222,912656.023,0.674280323,0.77834194,0.876367058,114739,19766,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Andulo,4223,197762.9748,0.360210242,0.360210242,0.360210242,86974,86974,86974,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Camacupa,4224,188161.71,0.360210242,0.360210242,0.360210242,82752,82752,82752,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Catabola,4225,136520.1232,0.360210242,0.360210242,0.360210242,60040,60040,60040,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Chinguar,4226,187411.1588,0.360210242,0.360210242,0.360210242,82422,82422,82422,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Chitembo,4227,120900.0714,0.360210242,0.360210242,0.360210242,53171,53171,53171,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuemba,4228,77254.04248,0.360210242,0.360210242,0.360210242,33976,33976,33976,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cunhinga,4229,26600.31559,0.360210242,0.360210242,0.360210242,11699,11699,11699,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Kuito,4230,334203.7674,0.360210242,0.360210242,0.360210242,146979,146979,146979,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,N'harea,4231,26834.08575,0.360210242,0.360210242,0.360210242,11801,11801,11801,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Belize,4232,29690.9531,0.360210242,0.360210242,0.360210242,13058,13058,13058,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Buco-zau,4233,72807.29542,0.360210242,0.360210242,0.360210242,32020,32020,32020,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cabinda,4234,328052.9339,0.360210242,0.360210242,0.360210242,144274,144274,144274,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cacongo (landana),4235,50276.13426,0.360210242,0.360210242,0.360210242,22111,22111,22111,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Calai,4236,59011.09201,0.360210242,0.360210242,0.360210242,25952,25952,25952,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuangar,4237,14604.61814,0.360210242,0.360210242,0.360210242,6423,6423,6423,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuchi,4238,41817.65037,0.360210242,0.360210242,0.360210242,18391,18391,18391,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuito Cuanavale,4239,43350.48265,0.360210242,0.360210242,0.360210242,19065,19065,19065,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Dirico,4240,27466.84234,0.360210242,0.360210242,0.360210242,12080,12080,12080,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Mavinga,4241,19674.47886,0.360210242,0.360210242,0.360210242,8653,8653,8653,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Menongue,4242,185279.3671,0.360210242,0.360210242,0.360210242,81484,81484,81484,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Nankova,4243,13698.18539,0.360210242,0.360210242,0.360210242,6024,6024,6024,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Rivungo,4244,35571.3811,0.360210242,0.360210242,0.360210242,15644,15644,15644,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
