"spRich","muni.no","muni.name"
8,110001,"Alta Floresta d'Oeste"
7,110002,"Ariquemes"
4,110003,"Cabixi"
7,110004,"Cacoal"
5,110005,"Cerejeiras"
5,110006,"Colorado do Oeste"
5,110007,"Corumbiara"
9,110008,"Costa Marques"
7,110009,"Espigão d'Oeste"
10,110010,"Guajará-Mirim"
6,110011,"Jaru"
8,110012,"Ji-Paraná"
8,110013,"Machadinho d'Oeste"
5,110014,"Nova Brasilândia d'Oeste"
8,110015,"Ouro Preto do Oeste"
7,110018,"Pimenta Bueno"
16,110020,"Porto Velho"
7,110025,"Presidente Médici"
7,110026,"Rio Crespo"
5,110028,"Rolim de Moura"
4,110029,"Santa Luzia d'Oeste"
7,110030,"Vilhena"
6,110032,"São Miguel do Guaporé"
10,110033,"Nova Mamoré"
6,110034,"Alvorada d'Oeste"
7,110037,"Alto Alegre dos Parecis"
7,110040,"Alto Paraíso"
7,110045,"Buritis"
5,110050,"Novo Horizonte do Oeste"
7,110060,"Cacaulândia"
7,110070,"Campo Novo de Rondônia"
7,110080,"Candeias do Jamari"
6,110090,"Castanheiras"
6,110092,"Chupinguaia"
7,110094,"Cujubim"
6,110100,"Governador Jorge Teixeira"
7,110110,"Itapuã do Oeste"
6,110120,"Ministro Andreazza"
6,110130,"Mirante da Serra"
7,110140,"Monte Negro"
5,110143,"Nova União"
4,110145,"Parecis"
7,110146,"Pimenteiras do Oeste"
4,110147,"Primavera de Rondônia"
4,110148,"São Felipe d'Oeste"
6,110149,"São Francisco do Guaporé"
5,110150,"Seringueiras"
5,110155,"Teixeirópolis"
8,110160,"Theobroma"
5,110170,"Urupá"
8,110175,"Vale do Anari"
8,110180,"Vale do Paraíso"
11,120001,"Acrelândia"
14,120005,"Assis Brasil"
12,120010,"Brasiléia"
9,120013,"Bujari"
13,120017,"Capixaba"
15,120020,"Cruzeiro do Sul"
14,120025,"Epitaciolândia"
13,120030,"Feijó"
11,120032,"Jordão"
13,120033,"Mâncio Lima"
11,120034,"Manoel Urbano"
16,120035,"Marechal Thaumaturgo"
11,120038,"Plácido de Castro"
16,120039,"Porto Walter"
11,120040,"Rio Branco"
15,120042,"Rodrigues Alves"
11,120043,"Santa Rosa do Purus"
10,120045,"Senador Guiomard"
11,120050,"Sena Madureira"
9,120060,"Tarauacá"
12,120070,"Xapuri"
11,120080,"Porto Acre"
14,130002,"Alvarães"
14,130006,"Amaturá"
10,130008,"Anamã"
16,130010,"Anori"
14,130014,"Apuí"
16,130020,"Atalaia do Norte"
16,130030,"Autazes"
12,130040,"Barcelos"
9,130050,"Barreirinha"
15,130060,"Benjamin Constant"
16,130063,"Beruri"
